id,st,end,time,stdev,breaks
77,23,32,1.0762092802524568,0.0220247799997886,"23,32"
78,23,35,1.0864873941540718,0.0221403914248254,"23,35"
79,23,38,1.0924615036845209,0.0194623708454569,"23,38"
80,23,39,1.6303584295213223,0.0370896800607952,"23,38,39"
81,23,40,1.917790911257267,0.0389221942488922,"23,38,40"
82,23,41,1.373478782773018,0.0197613339504563,"23,41"
83,24,25,0.680645727455616,0.012595607480466,"24,25"
84,24,26,1.0034085440039635,0.0197717118068625,"24,26"
85,25,26,0.42065078368783,0.0146531842341692,"25,26"
86,26,27,0.4363919045329094,0.01139435673905,"26,27"
87,26,28,1.0914190406799316,0.0178018587560473,"26,28"
88,26,29,0.4401722559034824,0.0101201169352413,"26,29"
89,26,30,0.8765129603147506,0.0239548557213907,"26,29,30"
90,26,31,1.5320732484161854,0.0343956689116755,"26,29,31"
91,26,32,0.9464983376562595,0.025845195230876798,"26,29,32"
92,26,35,1.079562015235424,0.0263934790249548,"26,35"
93,26,38,1.087481440126896,0.0187572931440785,"26,38"
94,26,39,1.6253783659636976,0.036384602359416804,"26,38,39"
95,26,40,1.9128108476996424,0.0382171165475138,"26,38,40"
96,26,41,1.37079523062706,0.0175320844549901,"26,41"
97,27,28,0.680479198217392,0.0169746410901892,"27,28"
98,27,29,1.003683039009571,0.0256463279819992,"27,29"
99,28,29,0.426190847992897,0.0094835708268871,"28,29"
100,29,30,0.4363407044112682,0.0138347387861494,"29,30"
101,29,31,1.091900992512703,0.0242755519764342,"29,31"
102,29,32,0.506326081752777,0.0157250782956355,"29,32"
103,29,35,1.0247032319307328,0.0217156648107528,"29,35"
104,29,38,1.0951577602028846,0.5343405907515203,"29,38"
105,29,39,1.633054686039686,0.5519678999668586,"29,38,39"
106,29,40,1.9204871677756308,0.5538004141549556,"29,38,40"
107,29,41,1.3586408948898316,0.0194136658148255,"29,41"
108,30,31,0.6800085112452507,0.0106732106877565,"30,31"
109,30,32,1.1675257284641265,0.0214417176942397,"30,31,32"
110,30,35,1.754738369166851,0.0357540683715675,"30,31,32,35"
111,30,38,2.341927745491266,0.0525685478179801,"30,31,32,35,38"
112,30,39,2.8798246713280675,0.0701958570333184,"30,31,32,35,38,39"
113,30,40,3.1672571530640123,0.0720283712214154,"30,31,32,35,38,40"
114,30,41,2.3828610251545905,0.0389597185858842,"30,31,32,41"
115,31,32,0.4875172172188758,0.0107685070064832,"31,32"
116,31,35,1.0747298579216003,0.025080857683811,"31,32,35"
117,31,38,1.6619192342460156,0.0418953371302236,"31,32,35,38"
118,31,39,2.199816160082817,0.0595226463455619,"31,32,35,38,39"
119,31,40,2.487248641818762,0.0613551605336589,"31,32,35,38,40"
120,31,41,1.7028525139093398,0.0282865078981277,"31,32,41"
121,32,33,0.5386466546654701,0.0153410617843757,"32,33"
122,32,34,1.3524815674722195,0.0546436993523315,"32,33,34"
123,32,35,0.5872126407027245,0.0143123506773278,"32,35"
124,32,38,1.1744020170271399,0.0311268301237404,"32,35,38"
125,32,39,1.7122989428639412,0.0487541393390787,"32,35,38,39"
126,32,40,1.999731424599886,0.0505866535271757,"32,35,38,40"
127,32,41,1.215335296690464,0.0175180008916445,"32,41"
128,33,34,0.8138349128067494,0.0393026375679558,"33,34"
129,33,35,1.384204097211361,0.0550423047675311,"33,34,35"
130,34,35,0.5703691844046116,0.0157396671995753,"34,35"
131,35,36,0.5381259191930294,0.0172205228959727,"35,36"
132,35,37,1.3582862401902676,0.035829284497691405,"35,36,37"
133,35,38,0.5871893763244153,0.0168144794464126,"35,38"
134,35,39,1.1250863021612167,0.034441788661750905,"35,38,39"
135,35,40,1.4125187838971616,0.0362743028498479,"35,38,40"
136,35,41,0.7884026881456375,0.0180579390408393,"35,41"
137,36,37,0.8201603209972381,0.0186087616017187,"36,37"
138,36,38,1.3906138898730278,0.032582023047458,"36,37,38"
139,37,38,0.5704535688757897,0.0139732614457393,"37,38"
140,38,39,0.5378969258368015,0.0176273092153383,"38,39"
141,38,40,0.8253294075727463,0.0194598234034353,"38,40"
142,38,41,0.5087776650488377,0.021589203803132,"38,41"
143,39,40,0.6773434565067291,0.0348887797733845,"39,40"
144,39,41,1.1010115841925143,0.0532907639151846,"39,40,41"
145,40,41,0.4236681276857852,0.0184019841418001,"40,41"
146,41,42,0.4583480636179447,0.0169279491219267,"41,42"
147,41,43,1.1217637749016285,0.045991635045181,"41,42,43"
148,41,44,0.5875202563405036,0.0213230927332736,"41,44"
149,41,47,0.9235736007094384,0.0280597697681331,"41,47"
150,41,48,1.3827716488540172,0.0388514863090604,"41,47,48"
151,41,49,2.0421177283227445,0.0513183703890945,"41,47,48,49"
152,41,50,1.4892528957128526,0.0206738226573475,"41,50"
153,42,43,0.6634157112836838,0.0290636859232543,"42,43"
154,42,44,1.158403422653675,0.0456785841429261,"42,43,44"
155,43,44,0.4949877113699913,0.0166148982196718,"43,44"
156,44,45,0.4594317762255668,0.0176710635225155,"44,45"
157,44,46,1.1028476471304893,0.0572967272985192,"44,45,46"
158,44,47,0.5888520004153251,0.018331454490904,"44,47"
159,44,48,1.048050048559904,0.029123171031831298,"44,47,48"
160,44,49,1.7073961280286312,0.0415900551118654,"44,47,48,49"
161,44,50,1.4513271044492722,0.0406270270713651,"44,47,50"
162,45,46,0.6434158709049225,0.0396256637760037,"45,46"
163,45,47,1.138722109735012,0.0673525585875033,"45,46,47"
164,46,47,0.4953062388300895,0.0277268948114996,"46,47"
165,47,48,0.4591980481445789,0.0107917165409273,"47,48"
166,47,49,1.1185441276133061,0.023258600620961398,"47,48,49"
167,47,50,0.862475104033947,0.0222955725804611,"47,50"
168,48,49,0.6593460794687271,0.0124668840800341,"48,49"
169,48,50,1.2778792003691197,0.0364312178284959,"48,49,50"
170,49,50,0.6185331209003926,0.0239643337484618,"49,50"
