id,st,end,time,stdev
0,0,1,1.6304525144100188,0.6019698538937547
1,0,2,3.390067744016647,0.715860218926743
2,0,3,14.951784901618957,0.35838388801092524
3,0,4,14.824150448799132,0.26435687583632583
4,0,5,3.421726757287979,0.032807990472654765
5,1,2,1.16000428879261,0.02351173098918941
6,1,3,3.374722364664078,0.029183107480338963
7,1,4,5.731061851024628,0.2176702888011495
8,1,5,1.4906103992462159,0.41437351709516035
9,2,3,3.008129886865616,0.31024809182889146
10,2,4,3.1127614674568176,0.3489463327341328
11,2,5,0.8677897917032242,0.048022764601284414
12,3,4,2.743168355464935,0.32860359408722806
13,3,5,3.777851235866547,0.0347380913469101
14,4,5,0.828191745519638,0.020735962907918362
15,5,6,1.0975931817293167,0.017112752525667404
16,5,7,3.9996973464488983,0.037852563992038575
17,5,8,0.9941492788791656,0.02038440254038345
18,5,9,4.001462759017945,0.034852973603806396
19,5,10,2.8068505561351778,0.028523919416008875
20,5,11,1.109213660657406,0.022042653091842626
21,6,7,1.6587885431051255,0.012358958849027244
22,6,8,3.1587226541042326,0.34590497821469796
23,7,8,0.959644032895565,0.017906578022588205
24,8,9,1.158538207411766,0.4349989497316742
25,8,10,1.2285178256034852,0.023153222044107722
26,8,11,0.5991148472428321,0.019616138394525032
27,9,10,1.1402111966609956,0.013053584243020977
28,9,11,2.1072722297906874,0.024049136291838958
29,10,11,0.5095322871506214,0.015867333460486143
30,11,12,0.6493259833753109,0.024246389837036236
31,11,13,2.3021827199459075,0.024327853862856054
32,11,14,0.7232129276990891,0.023770522035190766
33,11,17,0.9193917765617371,0.017584247736174088
34,11,18,2.82798441696167,0.015878337784478287
35,11,19,3.3939324197769163,0.03183607881327179
36,11,20,1.4911393605470658,0.4372880786223046
37,12,13,1.0247197126746177,0.4681922685336466
38,12,14,2.251203103423119,0.02385115857041488
39,13,14,0.5979382409453392,0.02975689488485485
40,14,15,0.6476745582818985,0.022588972947185974
41,14,16,2.3022137904167175,0.01916198595349977
42,14,17,0.7219410234689713,0.01829771445477124
43,14,18,2.304303649187088,0.0211956574633528
44,14,19,1.8721348465681076,0.19107460889879807
45,14,20,0.8556560321450234,0.022177185132295954
46,15,16,0.8981127991080284,0.05036382574000136
47,15,17,2.2918180775642396,0.3654573309886877
48,16,17,0.5981120311319829,0.02076960304790687
49,17,18,0.6467415994107724,0.01957263015025613
50,17,19,0.8590969277620315,0.019214299418031267
51,17,20,0.5072378255724906,0.01955112122157221
52,18,19,0.7652834883332252,0.04503958790909412
53,18,20,1.5325317453145981,0.019882586144027912
54,19,20,0.4442625263333321,0.007457644506163677
55,20,21,0.5129170234501362,0.012355716821110852
56,20,22,1.805640416264534,0.038028807074351675
57,20,23,0.5690773442685604,0.013711878444640025
58,20,26,1.28136972874403,0.41636378333415613
59,20,29,1.2314606081843376,0.01562992816026072
60,20,30,4.57479391336441,0.02283809768118207
61,20,31,4.650296581268311,0.04232479481609177
62,20,32,1.7293910382986069,0.39447176722188326
63,20,35,1.693612032532692,0.024119843209848585
64,20,38,1.6884624960422516,0.01616870480577445
65,20,39,6.993643213272095,0.04210993644540626
66,20,40,6.5293690533638005,0.0447173147262168
67,20,41,2.1472034873962405,0.01836199161496755
68,21,22,0.7755093441307545,0.03852874808869702
69,21,23,1.611810654759407,0.014333215348478956
70,22,23,0.549479967623949,0.02195219217882839
71,23,24,0.5140728644132614,0.018872883944164878
72,23,25,1.8557882577180862,0.4030687187272774
73,23,26,0.5689002879261971,0.01577289314875306
74,23,29,1.226182560801506,0.01682201773606527
75,23,30,4.601437501907348,0.36699477613272646
76,23,31,4.585207206726074,0.029938557652751132
77,23,32,1.6712235202789307,0.018659230212335485
78,23,35,1.6809628159999848,0.018090244849535232
79,23,38,1.693774496436119,0.01684634885244772
80,23,39,7.009870662689209,0.034819519758770234
81,23,40,6.491841241836548,0.29195975597712365
82,23,41,2.1288762862682344,0.02022675463670358
83,24,25,0.7642081597447395,0.046617006425838874
84,24,26,1.668276991724968,0.4704569741011735
85,25,26,0.5491834234595299,0.013298765229504142
86,26,27,0.5144468802511692,0.02393888342437288
87,26,28,1.8099503681659699,0.02750339432882824
88,26,29,0.56940723285079,0.016087501340638192
89,26,30,1.849901694893837,0.35065607953682537
90,26,31,4.569071706295014,0.03224998981044351
91,26,32,1.6612223043441772,0.016163773975922488
92,26,35,1.6703758723735809,0.023943222247206252
93,26,38,1.6803703701496124,0.017463761916760367
94,26,39,6.952714435100555,0.2342649376299375
95,26,40,6.472895874500274,0.04045889623361713
96,26,41,2.1342913266420362,0.019612974028455965
97,27,28,0.7769836158752441,0.050119585811303095
98,27,29,1.6131346871852874,0.018186639962315284
99,28,29,0.5494480315446854,0.015135835049144517
100,29,30,0.5136591356992721,0.013846019104518242
101,29,31,1.808591359734535,0.023339497558182203
102,29,32,0.7260484151542187,0.017241997463009556
103,29,35,1.6619100810289382,0.021437172916443523
104,29,38,1.6691025296449662,0.01942893398387789
105,29,39,6.850857924461365,0.2631012940473782
106,29,40,6.405962044715881,0.04535387723735298
107,29,41,2.111578530192375,0.020704693948191154
108,30,31,0.7979465608000755,0.2779838846452768
109,30,32,2.1681090220212935,0.021982370341416216
110,30,35,6.3802960004806515,0.046087624792853735
111,30,38,6.439615642070771,0.2435191661135581
112,30,39,29.146458831787108,0.3677852852306017
113,30,40,29.05486695098877,0.3683163377707579
114,30,41,8.774705781936646,0.22930210612657592
115,31,32,0.6873710086941719,0.029146642130724758
116,31,35,2.1763672963380816,0.017825830378596634
117,31,38,6.424830105781555,0.27668659573147236
118,31,39,28.7989376373291,0.3611566100350114
119,31,40,23.429083839416503,0.3206568386415467
120,31,41,7.457301439762116,0.2561040667068208
121,32,33,0.7635667511820793,0.018029729425034172
122,32,34,3.317712602376938,0.019838650605302214
123,32,35,1.0083889914155006,0.4068509022869244
124,32,38,2.157862498998642,0.018256823150637518
125,32,39,9.201917261123658,0.2563403858837927
126,32,40,6.612844943523407,0.049333671589849255
127,32,41,2.217570852994919,0.023602904568307013
128,33,34,0.9044874225854873,0.01632197949478336
129,33,35,3.121660320043564,0.01959399150533669
130,34,35,0.8954066558480263,0.021023379689065567
131,35,36,0.7605172488689422,0.028489032523406913
132,35,37,3.3071771807670594,0.03755283002700215
133,35,38,0.9523394243717194,0.04511983608143841
134,35,39,3.3387358717918394,0.35527532481675955
135,35,40,3.362272067308426,0.2873889484642755
136,35,41,1.1971026566028595,0.020356422927590403
137,36,37,0.9010385929942131,0.017323393035625537
138,36,38,3.119376286506653,0.018145400813581188
139,37,38,0.9555435518026352,0.40463114997833316
140,38,39,0.759745470881462,0.019746908258966186
141,38,40,1.3853397731781005,0.02093575430034446
142,38,41,0.6095576651096344,0.019197271921774346
143,39,40,0.7292089265584946,0.06293087508816173
144,39,41,2.296783392190933,0.028880307242848912
145,40,41,0.5061152322888375,0.024391509734197254
146,41,42,0.6764224966168404,0.43337268789033295
147,41,43,3.0003567051887514,0.3367328602647101
148,41,44,0.811190495789051,0.0194387370820836
149,41,47,1.4249973744153976,0.01905866410858277
150,41,48,6.510894181251526,0.22503753723333877
151,41,49,6.617394860267639,0.2262220521306108
152,41,50,2.474259588956833,0.02225911127027068
